case,gender,shootingType,race,city,state,date,year,injured,killed,casualties,locationType,weaponObtained,weaponType,weaponDetails,lat,long
Living Church of God shooting,Male,Mass,White,Brookfield,Wisconsin,3/12/2005,2005,4,7,11,Religious,"Gun dealer in Waukesha, Wis.",One semiautomatic handgun,9mm Beretta semiautomatic handgun,43.06056595,-88.10647583
Sikh temple shooting,Male,Mass,White,Oak Creek,Wisconsin,8/5/2012,2012,3,7,10,Religious,Unknown,One semiautomatic handgun,9mm Springfield Armory XDM semiautomatic handgun,42.885849,-87.86313629
Charleston Church Shooting,Male,Mass,White,Charleston,South Carolina,6/17/2015,2015,1,9,10,Religious,"Shooter's Choice gun store in West Columbia, South Carolina",Handgun,".45-caliber Glock (model 41, with 13-round capacity magazine)",32.7883873,-79.93314362
Texas First Baptist Church massacre,Male,Mass,White,Sutherland Springs,Texas,11/5/2017,2017,20,26,46,Religious,Unknown,semiautomatic rifle,Ruger AR-556; Kelley also possessed semiautomatic handguns,29.273282,-98.056488
Tree of Life synagogue shooting,Male,Mass,White,Pittsburgh,Pennsylvania,10/27/2018,2018,6,11,17,Religious,Unknown,semiautomatic rifle; semiautomatic handguns,AR-15; Glock .357 (3),40.443898,-79.921398
Columbine High School Shooting,Two Males,Mass,White,Littleton,Colorado,4/20/1999,1999,21,13,34,School,purchased from friends,"Carbine, handgun, two shotguns","12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9mm carbine, 9Ã—19mm Intratec TEC-9 semiautomatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",39.60391,-105.075
Heritage High School Shooting,Male,Mass,White,Conyers,Georgia,5/20/1999,1999,6,0,6,School,Unknown,"Rifle, handgun",".22-caliber rifle, .357-caliber Magnum handgun",33.626922,-84.04796
Fort Gibson Middle School Shooting,Male,Mass,American Indian,Fort Gibson,Oklahoma,12/6/1999,1999,5,0,5,School,father,Handgun,Taurus 9mm handgun,35.795556,-95.241921
Santana High School Shooting,Male,Mass,White,Santee,California,3/5/2001,2001,13,2,15,School,father,Handgun,.22-caliber revolver,32.85756,-116.971045
Granite Hills High School Shooting,Male,Mass,Other,El Cajon,California,3/22/2001,2001,5,0,5,School,Unknown,Shotgun,Mossberg 12-gauge pump-action shotgun,32.800101,-116.916889
John McDonogh High School Shooting,Two Males,Mass,Other,New Orleans,Louisiana,4/14/2003,2003,3,1,4,School,Unknown,"Semiautomatic rifle, handgun","AK-47-style semiautomatic rifle, semiautomatic handgun",29.974421,-90.075733
Red Lake High School Shooting,Male,Spree,American Indian,Red Lake,Minnesota,3/21/2005,2005,7,7,14,School,grandfather,"Handgun, Shotgun"," Glock 23 .40-caliber handgun, 870 12-gauge pump-action shotgun",47.8509,-95.0629
Campbell County High School Shooting,Male,Mass,White,Jacksboro,Tennessee,11/8/2005,2005,2,1,3,School,Unknown,Handgun,.22-caliber handgun,36.35086,-84.14832
West Nickel Mines Amish School Shooting,Male,Mass,White,Nickel Mines,Pennsylvania,10/2/2006,2006,5,5,10,School,purchased legally by shooter,"Handgun, Shotgun, Rifle","9mm handgun, shotgun, 30.06 rifle",39.960081,-76.084367
Springwater Trail High School Shooting,Male,Mass,Other,Gresham,Oregon,4/10/2007,2007,10,0,10,School,stepfather,Rifle,.270 Winchester rifle with scope,45.48655,-122.40894
SuccessTech Academy Shooting,Male,Mass,Other,Cleveland,Ohio,10/10/2007,2007,4,0,4,School,Unknown,Two revolver,".22-caliber revolver, .38-caliber revolver",41.50762,-81.6869
Millard South High School Shooting,Male,Mass,Black,Omaha,Nebraska,1/5/2011,2011,2,1,3,School,father,Handgun,Smith & Wesson Glock .40-caliber handgun,41.203481,-96.146049
Chardon High School Shooting,Male,Mass,White,Chardon,Ohio,2/27/2012,2012,3,3,6,School,uncle,Handgun,Ruger MK III .22-caliber semiautomatic handgun,41.591297,-81.199958
Sandy Hook Elementary School Shooting,Male,Spree,White,Newtown,Connecticut,12/14/2012,2012,2,26,28,School,mother,Semiautomatic rifle,Bushmaster XM15-E2S semiautomatic rifle,41.41978,-73.277751
Sparks Middle School Shooting,Male,Mass,Hispanic,Sparks,Nevada,10/21/2013,2013,2,1,3,School,father,Handgun,Ruger SR9C 9mm semiautomatic handgun,39.5517,-119.7694
Newman Elementary School Shooting,Male,Accidental,Other,Chino,California,10/23/2013,2013,3,0,3,School,police weapon,Semiautomatic rifle,AR-15-style semiautomatic rifle,34.0271,-117.7144
Berrendo Middle School Shooting,Male,Mass,White,Roswell,New Mexico,1/14/2014,2014,3,0,3,School,Unknown,Shotgun,shotgun,33.4736,-104.5115
Marysville Pilchuck High School Shooting,Male,Mass,American Indian,Marysville,Washington,10/24/2014,2014,1,4,5,School,father,Handgun,.40-caliber Beretta Px4 Storm semiautomatic handgun,48.09582,-122.154021
Madison High School Shooting,Male,Mass,White,Middletown,Ohio,2/29/2016,2016,4,0,4,School,family home,Handgun,Sig Sauer P238 semiautomatic handgun,39.53385,-84.4433
Townville Elementary School Shooting,Male,Mass,White,Townville,South Carolina,9/28/2016,2016,2,1,3,School,father,Handgun,.40-caliber handgun,34.56311,-82.903471
June Jordan High School Shooting,Male,Mass,Other,San Francisco,California,10/18/2016,2016,4,0,4,School,Unknown,Handgun,handguns,37.719558,-122.425241
North Park Elementary School Shooting,Male,Mass,Black,San Bernardino,California,4/10/2017,2017,1,2,3,School,Unknown,Revolver,Smith & Wesson .357 Magnum revolver,34.179206,-117.301804
Freeman High School Shooting,Male,Mass,White,Rockford,Washington,9/13/2017,2017,3,1,4,School,father,"Rifle, handgun","AR-15-stylee semiautomatic rifle, handgun",47.519667,-117.19638
Marshall County High School Shooting,Male,Mass,White,Benton,Kentucky,1/23/2018,2018,16,2,18,School,Unknown,Handgun,handgun,36.912835,-88.332917
Salvador B. Castro Middle School Shooting,Female,Accidental,Other,Los Angeles,California,2/1/2018,2018,5,0,5,School,Unknown,Handgun,semiautomatic handgun,34.06169,-118.265
